Algorithm,TestCase,Makespan,CacheHit,TotalExecutionTime,AvgExecutionTime,ResponseTime,CpuUtilization,LoadBalance
WFD,33,137007.00,0.435,974751.00,16245.85,68197.28,0.889,0.936
WFD,34,123414.00,0.437,917419.00,15290.32,60774.97,0.929,0.955
WFD,35,155095.00,0.441,963531.00,16058.85,63242.10,0.777,0.860
WFD,36,159183.00,0.437,1037929.00,17298.82,67944.22,0.815,0.869
WFD,37,137116.00,0.439,935910.00,15598.50,67963.22,0.853,0.914
WFD,38,148004.00,0.437,1012403.00,16873.38,77436.68,0.855,0.910
WFD,39,139008.00,0.438,965439.00,16090.65,64419.95,0.868,0.915
WFD,40,165978.00,0.438,994586.00,16576.43,65305.97,0.749,0.850
WFD,41,167013.00,0.436,1155963.00,19266.05,76265.15,0.865,0.882
WFD,42,161223.00,0.435,1074493.00,17908.22,66499.25,0.833,0.860
WFD,43,171857.00,0.436,1124961.00,18749.35,80741.82,0.818,0.865
WFD,44,172781.00,0.435,1138525.00,18975.42,75391.23,0.824,0.879
WFD,45,242951.00,0.438,1172713.00,19545.22,74046.57,0.603,0.716
WFD,46,172756.00,0.433,1086706.00,18111.77,73431.50,0.786,0.703
WFD,47,169911.00,0.436,1134527.00,18908.78,72486.03,0.835,0.869
WFD,48,184087.00,0.434,1135606.00,18926.77,75367.23,0.771,0.869
WFD,49,192053.00,0.435,1101243.00,18354.05,75623.93,0.717,0.828
WFD,50,156894.00,0.436,1110247.00,18504.12,77377.17,0.885,0.856
WFD,51,171232.00,0.435,1156932.00,19282.20,78857.77,0.845,0.909
WFD,52,193573.00,0.439,1127562.00,18792.70,78963.88,0.728,0.781
WFD,53,199593.00,0.436,1162477.00,19374.62,83725.88,0.728,0.772
WFD,54,168494.00,0.434,1134134.00,18902.23,81298.68,0.841,0.813
WFD,55,208111.00,0.436,1155714.00,19261.90,73871.53,0.694,0.824
WFD,56,159281.00,0.437,1147935.00,19132.25,82324.03,0.901,0.854
WFD,57,152278.00,0.435,1100788.00,18346.47,73539.25,0.904,0.942
WFD,58,155715.00,0.436,1146572.00,19109.53,75326.65,0.920,0.939
WFD,59,215503.00,0.436,1164643.00,19410.72,74917.77,0.676,0.764
WFD,60,185113.00,0.436,1151208.00,19186.80,77613.65,0.777,0.786
WFD,61,209297.00,0.433,1318816.00,21980.27,92196.65,0.788,0.876
WFD,62,189835.00,0.437,1275909.00,21265.15,94828.85,0.840,0.913
WFD,63,201839.00,0.437,1299432.00,21657.20,83644.97,0.805,0.808
WFD,64,200284.00,0.440,1296389.00,21606.48,87390.02,0.809,0.840
WFD,65,193776.00,0.434,1344227.00,22403.78,85243.73,0.867,0.907
WFD,66,195502.00,0.438,1337464.00,22291.07,84653.38,0.855,0.902
WFD,67,199932.00,0.437,1319466.00,21991.10,99699.35,0.825,0.865
WFD,68,191066.00,0.436,1303328.00,21722.13,83736.45,0.853,0.882
WFD,69,196258.00,0.439,1315471.00,21924.52,91750.32,0.838,0.876
WFD,70,188067.00,0.435,1344220.00,22403.67,90961.85,0.893,0.918
WFD,71,183243.00,0.435,1309700.00,21828.33,96070.30,0.893,0.938
WFD,72,196702.00,0.434,1269294.00,21154.90,87379.27,0.807,0.853
WFD,73,201192.00,0.436,1311362.00,21856.03,90023.45,0.815,0.858
WFD,74,193724.00,0.436,1332973.00,22216.22,95603.78,0.860,0.891
WFD,75,196867.00,0.438,1275712.00,21261.87,87634.73,0.810,0.882
WFD,76,206166.00,0.435,1318247.00,21970.78,88983.72,0.799,0.887
WFD,77,187339.00,0.433,1304772.00,21746.20,89502.03,0.871,0.882
WFD,78,247287.00,0.437,1329963.00,22166.05,87647.42,0.672,0.793
WFD,79,193914.00,0.436,1321328.00,22022.13,98131.22,0.852,0.839
WFD,80,197312.00,0.438,1283853.00,21397.55,85840.10,0.813,0.812
WFD,81,281443.00,0.435,1575174.00,26252.90,103701.08,0.700,0.831
WFD,82,245115.00,0.435,1593705.00,26561.75,114651.27,0.813,0.840
WFD,83,247215.00,0.438,1574933.00,26248.88,103851.08,0.796,0.862
WFD,84,249457.00,0.437,1593800.00,26563.33,103375.60,0.799,0.835
WFD,85,271828.00,0.437,1567775.00,26129.58,107396.48,0.721,0.846
WFD,86,256813.00,0.436,1570088.00,26168.13,110008.42,0.764,0.846
WFD,87,235222.00,0.434,1532665.00,25544.42,111771.90,0.814,0.838
WFD,88,214760.00,0.436,1621888.00,27031.47,108064.35,0.944,0.955
WFD,89,276909.00,0.436,1621846.00,27030.77,101705.58,0.732,0.854
WFD,90,226577.00,0.435,1604831.00,26747.18,111965.50,0.885,0.863
WFD,91,251211.00,0.438,1554848.00,25914.13,102991.22,0.774,0.869
WFD,92,224036.00,0.438,1534575.00,25576.25,104162.88,0.856,0.867
WFD,93,235207.00,0.434,1597691.00,26628.18,106936.65,0.849,0.878
WFD,94,227101.00,0.436,1591300.00,26521.67,111948.47,0.876,0.907
WFD,95,226276.00,0.436,1617708.00,26961.80,109539.08,0.894,0.921
WFD,96,214023.00,0.435,1597788.00,26629.80,110642.82,0.933,0.943
WFD,97,236815.00,0.437,1607549.00,26792.48,112298.67,0.849,0.903
WFD,98,220176.00,0.437,1586411.00,26440.18,108117.18,0.901,0.885
WFD,99,213574.00,0.434,1496702.00,24945.03,101059.45,0.876,0.916
WFD,100,223426.00,0.436,1558122.00,25968.70,104329.72,0.872,0.895
